#rank	DIAMOnD_node	assortativity
1	FES	-0.1914460285132392
2	HSH2D	0.00977995110024636
3	SRRM5	0.09922822491730923
4	TERT	0.06804281345565742
5	HSPA4	0.10349166404529687
6	HSP90AA1	0.16673786131282967
7	MAP2K3	0.15744680851063847
8	RAF1	0.16583371194911306
9	AKT1	0.17744345920095647
10	RASSF1	0.1809114835849852
11	PTGDS	0.16900212314225033
12	FGFR4	0.1552433173406462
13	CDK6	0.14772255295583508
14	STK11	0.1461169597089779
15	MAP3K5	0.1417163204747768
16	CDK4	0.14922847885103835
17	GLIS2	0.15568867127050137
18	MDM4	0.16483407299463732
19	TEAD2	0.1693484373029458
20	CDKN2B	0.17403802754565167
21	FZR1	0.17711665133125745
22	ABL1	0.19635214381266874
23	CCND2	0.21317190439184552
24	LATS2	0.22702277361512957
25	PEBP1	0.24046174389269082
