#rank	DIAMOnD_node	assortativity
1	RPA1	-0.16957783685514263
2	PCNA	-0.16687469734913005
3	RBM39	-0.16186806337388418
4	CDK9	-0.15869029711117602
5	DHX9	-0.15581422895902494
6	HSPA8	-0.15311398698530407
7	TUBB	-0.15018655831508335
8	PRKDC	-0.14737758059606101
9	PHB	-0.14456568077615345
10	BRD4	-0.1418412908785014
11	FUS	-0.13821854233042383
12	HSPB1	-0.135452505299019
13	RPA2	-0.1326435323599923
14	XRCC6	-0.12948229839033662
15	RPA3	-0.1262293196657924
16	CHD4	-0.12263167778545027
17	TMPO	-0.11953667340577996
18	XRCC5	-0.11669765660909577
19	MCM2	-0.11287111851543309
20	WDR5	-0.10957406830968489
21	UFL1	-0.10622687584839746
22	HNRNPD	-0.10363168421096504
23	HNRNPA1	-0.09955645469268527
24	NCL	-0.09639668481464575
25	PCBP1	-0.09350024278342824
