#rank	DIAMOnD_node	assortativity
1	HSPA8	-0.1557189238825059
2	HSPA5	-0.14348117027486967
3	IGFBP3	-0.13132607399127533
4	STUB1	-0.12225743269517106
5	CTNNB1	-0.10455429047486811
6	CDC37	-0.08025053184089662
7	EEF2	-0.0695664014656166
8	IGFBP7	-0.05862104166949732
9	HSPB1	-0.04996183921507584
10	AKT1	-0.03610055747988271
11	VCP	-0.022971654076109026
12	SP1	-0.013084114341054824
13	PTPN11	-0.003602562246747102
14	CYP2C8	0.0015837924148663076
15	YWHAQ	0.006386062159394431
16	AR	0.018346277001881548
17	CYP2C18	0.024125101490383147
18	HSP90B1	0.028866102251609443
19	HDAC6	0.03548163797496832
20	YWHAZ	0.04326963986181692
21	UBC	0.05190185352173164
22	FCGR1B	0.05665239081990674
23	HDAC4	0.05999931971883617
24	HSP90AB1	0.07128703707704512
25	FUS	0.079225623526195
