#rank	DIAMOnD_node	assortativity
1	SP1	-0.048448379297181134
2	PTK2	-0.022803723695533493
3	IGF1R	0.005573434311645627
4	SOCS3	0.03913994987093669
5	JAK2	0.08073946903535638
6	JAK1	0.12011747430249602
7	CBL	0.1656228286199126
8	PTPN11	0.23109104006205977
9	INSR	0.2698425639074582
10	SOCS1	0.29423544054764794
11	GHR	0.314927924191582
12	IL2RB	0.32442111441743654
13	JAK3	0.3345977746265898
14	STAT5B	0.34345429330062505
15	SHC1	0.3599564365859464
16	KIT	0.35886907006524105
17	NCK1	0.3675117672229348
18	RASA1	0.3766163501596073
19	ALK	0.36785690420110767
20	PTPN6	0.3694829063372303
21	PLCG1	0.36615714503213637
22	ERBB4	0.36622591688339146
23	PDGFRB	0.3593877218694008
24	FYN	0.35455506381486823
25	PIK3R3	0.36046130870255194
