#rank	DIAMOnD_node	assortativity
1	HSP90AA1	-0.1713899466406217
2	STUB1	-0.16807742334960543
3	EFTUD2	-0.1653079716761617
4	WDR5	-0.16251950418001723
5	OGT	-0.15905207718010997
6	PHB	-0.15629698170583028
7	NPM1	-0.15215724535982744
8	COPS5	-0.1490045987641227
9	YAP1	-0.14605309067419253
10	HSPA4	-0.1434313127564287
11	PRPF8	-0.1398206968680216
12	NCL	-0.13687027683039538
13	CHD4	-0.13426676586731837
14	CSNK2A1	-0.13175368966140735
15	RBM39	-0.12733729845197564
16	TUBB	-0.12493240696293072
17	TRIM28	-0.12276422792706597
18	FUS	-0.11994132112675478
19	ECT2	-0.11739433909221197
20	MCM2	-0.11511358517699528
21	FBXW7	-0.11280565782031567
22	CDK2	-0.11027508390735113
23	AAR2	-0.1072021497595725
24	PCBP1	-0.10400412798033977
25	HNRNPA1	-0.1009958133493832
