#rank	DIAMOnD_node	assortativity
1	EFTUD2	-0.16823028434935489
2	WDR5	-0.16464094457788533
3	EP300	-0.16116724731833834
4	NPM1	-0.15604580014505498
5	HDAC2	-0.15243065590562063
6	YWHAZ	-0.14905533814840946
7	CBX3	-0.14618726440608107
8	SUZ12	-0.14329677358310433
9	NCL	-0.14056173643117992
10	CHD4	-0.13774492867777305
11	XRCC6	-0.13473691057047144
12	TRIM28	-0.13202176017213677
13	MCM2	-0.1293433207618963
14	FUS	-0.12545708187310506
15	COPS5	-0.12301064361190081
16	HNRNPA1	-0.11974876182984821
17	ILF3	-0.11603703438945102
18	PHB	-0.1122291664935027
19	HNRNPK	-0.10916252625945513
20	RECQL4	-0.10608037231405652
21	CDK9	-0.10361061164502665
22	STAU1	-0.09943374728948665
23	OGT	-0.09660397457245068
24	RNF2	-0.09393734519020215
25	PRPF8	-0.08987623882806897
