#rank	DIAMOnD_node	assortativity
1	YWHAZ	-0.18573116034573675
2	YWHAQ	-0.170914471014756
3	IGFBP3	-0.15995645042612092
4	PRDX2	-0.15131661075390895
5	DNM1L	-0.14223552070933837
6	EGFR	-0.12199644394569659
7	CDC37	-0.10255224199325891
8	EEF2	-0.09578337379136712
9	CTNNB1	-0.07868881378393396
10	HSPB1	-0.06836674815464201
11	IFIT5	-0.06295810784159404
12	HSP90B1	-0.05783656979977228
13	HSPA8	-0.04299681129543705
14	AKT1	-0.028554003694681952
15	VCP	-0.018473997880509335
16	PTPN11	-0.009133908385874611
17	STUB1	-0.002439090218839161
18	PARK7	0.0010036302224432237
19	PARK2	0.005035610792744647
20	PRDX6	0.011473869107637754
21	PINK1	0.017780157556916497
22	YAP1	0.02831331907407569
23	IGFBP7	0.03920057725155135
24	BRD4	0.048110322726427415
25	AR	0.05509590493715521
