#rank	DIAMOnD_node	assortativity
1	PTPN20B	0.21568627450980318
2	FCHSD1	0.23809523809523808
3	MTMR8	0.16666666666666669
4	STYX	0.07936507936507908
5	ERBB4	0.2774869109947646
6	ERBB2	0.32767162066525124
7	NRON	0.3330345136709987
8	DUSP18	0.3020457280385074
9	PTPN6	0.3060749476297613
10	SRC	0.27258320126782876
11	KIT	0.3237682126571014
12	ABL1	0.29356118400976516
13	PLCG1	0.27584804105645294
14	ZAP70	0.24176859003822815
15	RASA1	0.24237727784394075
16	MET	0.248574477624192
17	GRB2	0.2554941731521427
18	CBL	0.25891759988025165
19	CD5	0.24619396607049343
20	LTK	0.2565431429668254
21	SHC1	0.24764284828751632
22	DOK1	0.23212936348681254
23	PIK3R1	0.22340243467916776
24	CRK	0.21139185008516348
25	SPRR2A	0.19348669572093094
