#rank	DIAMOnD_node	assortativity
1	FES	-0.2794117647058812
2	PIK3R1	-0.046153846153845206
3	HSH2D	-0.020408163265307817
4	GAB1	0.07187053783912328
5	PIK3R3	0.08166533226581392
6	RBP7	0.11282503305420871
7	CRK	0.08249496981891329
8	SRC	0.06610494063577194
9	KIT	0.06554798112218196
10	SH2D2A	0.07868421052631432
11	SYK	0.05999094275286823
12	ABL1	0.04886472047319175
13	PIK3R2	0.03183412021314934
14	ERBB4	0.04950242408777637
15	AR	0.04006580300226216
16	GRB2	0.046978497910931165
17	KRAS	0.0537939377096993
18	CBL	0.05130253571019099
19	TRIM25	0.06880683633519631
20	KIAA1429	0.06628417880097594
21	ERBB3	0.08554834072679256
22	SHC1	0.09384248673742054
23	LYN	0.09238737425556665
24	ANKRD30BL	0.08423151696013258
25	NRG2	0.07622380417742548
