#rank	DIAMOnD_node	assortativity
1	CALM1	-0.03227752639517368
2	GPRASP1	0.021186440677965723
3	HTR1D	0.04490760636012037
4	HRH3	0.04630611523506558
5	GRM5	0.04963466868228754
6	PHPT1	0.050086355785838
7	VEGFA	0.03324941401163282
8	MDM2	0.0746895893027693
9	PLK1	0.1232806107657117
10	TP53	0.13159897734147788
11	SP1	0.1438919796012978
12	PIN1	0.18070004976657078
13	HIF1A	0.20920824340908134
14	TP73	0.2298192089704635
15	JUN	0.24442988800640414
16	EP300	0.2690742624618514
17	HDAC1	0.29142185663924813
18	RB1	0.3036620337709687
19	STAT3	0.31569000068080894
20	SIRT1	0.3275483475963156
21	CCND1	0.32832925242724026
22	RELA	0.33552907543409377
23	MUC3A	0.33486050776665427
24	HSPA8	0.32792166667584566
25	HDAC3	0.32360774442165463
