#rank	DIAMOnD_node	assortativity
1	PRDX2	-0.1839075254057786
2	CDC37	-0.1566388137365226
3	ECSIT	-0.1428880118464286
4	RNF32	-0.12628865979381435
5	IGFBP7	-0.11000934812719405
6	IFIT5	-0.0960741898485186
7	GCDH	-0.07787324308655715
8	MAST1	-0.060052474220513144
9	ELAVL3	-0.048687852713344665
10	FBXL12	-0.04215068038499843
11	CYP2C8	-0.04083400659963226
12	EXOC6	-0.03422768357549775
13	PTPN11	-0.01676485794921354
14	FCGR1B	-0.012691700925272968
15	EWSR1	-0.008736412939906442
16	IFIT3	-0.006231524338473627
17	CYP2C18	-0.010499645804891194
18	LOC644422	-0.01669195751138086
19	MYC	-0.0221079318045877
20	YWHAZ	-0.028247080482801678
21	LOC645086	-0.03516879207983183
22	PKM	-0.04287369640788013
23	LONP1	-0.030531499405671004
24	LOXL4	-0.030285576611780003
25	RAD23A	-0.02986046856863519
