#rank	DIAMOnD_node	assortativity
1	KLF5	0.3549582947173294
2	NCOA6	0.3367346938775509
3	SMAD3	0.3510612344474249
4	OR5AC2	0.33007175472929007
5	HNF4A	0.3186215235792026
6	NR0B2	0.2909090909090914
7	SREBF1	0.32451032292218046
8	VDR	0.30945069941999176
9	SP1	0.29913115432354287
10	MED1	0.28356222719045954
11	RXRA	0.25885665898662896
12	JUN	0.24428442386228935
13	HIST1H4A	0.21855771826449483
14	CREBBP	0.19887256158019267
15	MED24	0.18983662821262917
16	SREBF2	0.18659269840215115
17	NCOR2	0.16743462144948812
18	PPARG	0.18066508144941046
19	RARA	0.1716567844367067
20	NCOR1	0.17151566232992208
21	HDAC1	0.18141082890534932
22	SMARCA4	0.17360177226867268
23	SIRT1	0.17501871372920005
24	RB1	0.1726260732717715
25	PML	0.1698505002418908
