#rank	DIAMOnD_node	assortativity
1	PARK2	-0.09286273666449896
2	YAP1	-0.08463132201940339
3	SLC25A5	-0.07809852146488443
4	EEF2	-0.0717727338180521
5	RPL4	-0.060549600346656955
6	MEPCE	-0.05088220187500667
7	RPL21	-0.042486989026746066
8	RPL7A	-0.02912399040805475
9	RPS4X	-0.01671642243787199
10	RPL11	-0.002702602834427626
11	RPS3	0.010690423770811334
12	RPL6	0.024405545404810658
13	RPS23	0.03849640285101423
14	RPL9	0.052893496215396886
15	RPL12	0.06535634210286678
16	RPS2	0.08154385731753376
17	RPL7	0.0959066922759986
18	RPL5	0.11086604065493748
19	HNRNPU	0.1257521027161828
20	RPL17	0.13888446213777017
21	RPS8	0.15433552092370872
22	RPS15A	0.16683613293420332
23	RPS25	0.17905978210136494
24	RPS5	0.19412639426202702
25	RPL10A	0.20694126524446949
