#rank	DIAMOnD_node	assortativity
1	EEF2	-0.09122340478793946
2	GAPDH	-0.08243227972792502
3	HSP90AB1	-0.06771219073540888
4	PSMA3	-0.057576479895660816
5	HUWE1	-0.0476846950085078
6	METTL14	-0.03865712874924876
7	PRPF8	-0.026036161424393585
8	HDAC6	-0.019512886220210076
9	ATXN3	-0.009053629845544245
10	PHB	-0.0002834396696103129
11	UBL4A	0.0042626267782080425
12	ATP5A1	0.011846326302805186
13	FUS	0.018102286279604144
14	AAR2	0.02797991632674177
15	PIH1D1	0.035081531020415765
16	PKM	0.03930997050774916
17	CASP3	0.043344964534731634
18	RECQL4	0.04741512962018697
19	RPL18	0.05129608889757338
20	RPS4X	0.05540617123180132
21	RPS3	0.06011176605638363
22	RPL4	0.06485639535254868
23	MEPCE	0.07045392837626824
24	RPS9	0.07576469030558183
25	RPS16	0.08309330568264396
