#rank	DIAMOnD_node	assortativity
1	PLK1	0.03462686567164186
2	VEGFA	0.09151785714285694
3	WASF4P	0.12368972746331268
4	CFL2	0.1545827633378925
5	GAGE13	0.13369963369963336
6	VWFP1	0.16289308176100595
7	PDP1	0.12790194664744015
8	PPA2	0.1065292096219921
9	HINT2	0.19185993216610162
10	SOD1	0.3196193674783091
11	ENO1	0.45433309974304964
12	PARK7	0.5076447524013024
13	ACO2	0.5500269370501862
14	CFL1	0.5993695022118267
15	PRDX5	0.6212808317663967
16	TRAP1	0.6466351738558039
17	C21orf33	0.6700717954002849
18	AGR2	0.6885381655219449
19	GHSR	0.6931466359869427
20	HTR1D	0.7073546343000322
21	HRH3	0.7076318632193214
22	UGT3A2	0.7041172402229952
23	CLIC6	0.7006322920205458
24	PIGB	0.692145747423923
25	PRDX6	0.6807028644055567
