#rank	DIAMOnD_node	assortativity
1	LDHA	0.04443168771526972
2	CFL2	0.13949125834771492
3	PRDX5	0.21349162432717958
4	DSTN	0.2776984288920628
5	LDHB	0.3582092838897211
6	SOD1	0.40879004500926636
7	PARK7	0.4332464745554867
8	H2BFM	0.4535359438924603
9	OR9A4	0.473992458481534
10	PLCXD2	0.48715859516898447
11	OR8U8	0.497305389221556
12	C11orf54	0.49951124144672504
13	TKT	0.5113335231379081
14	UCA1	0.5078318529384898
15	UGT2B4	0.5215104964597738
16	TRIM39-RPP21	0.5342182640514787
17	AQP11	0.5424208446793738
18	TPI1	0.5359770811371166
19	ESD	0.5316100793376142
20	ACO2	0.5377706673425101
21	PROM2	0.5313903364858783
22	PGM1	0.5236526864351765
23	IDH2	0.5232235623616566
24	AGR2	0.528190714405436
25	HSPE1	0.5236291327076045
