#rank	DIAMOnD_node	assortativity
1	HINT2	0.1116138763197588
2	PDP1	0.22193548387096754
3	C21orf33	0.36673104780299337
4	CS	0.4433563416738558
5	AARS2	0.5035836709255224
6	HTR1D	0.5265162472278464
7	PDHA1	0.5381585425898561
8	TACO1	0.5416713636192837
9	CLPP	0.5455526641637367
10	PP7080	0.5496528181853456
11	CSPG4P10	0.5463941028953573
12	MTIF2	0.5452692958806191
13	PDK1	0.5606966029097535
14	TRAP1	0.564341241104065
15	MTRF1L	0.5675026547393346
16	FASTKD5	0.5711209953308404
17	GFM1	0.574947916208828
18	ZNRD1-AS1	0.5756601304647092
19	ATOH7	0.586684906520748
20	GPR26	0.5963658164444148
21	MC5R	0.6071242808731975
22	SNHG21	0.6035984414393756
23	WASF4P	0.6107695794371694
24	GAGE13	0.6033957331581755
25	VWFP1	0.6130687342216855
